Store Number,Store Name,Store Location,Address,City,State,Zip Code,Phone Number,Latitude,Longitude
299,Maple Grove,Fountains Of Arbor Lakes,11361 Fountains Drive,Maple Grove,MN,55369,(763) 315-5377,45.0901,-93.4249
301,Canton,Canton Marketplace,1810 Cumming Highway,Canton,GA,30115,(770) 345-1218,34.2351,-84.4604
302,Cumming,Cumming Town Center,2145 Marketplace Blvd.,Cumming,GA,30041,(770) 292-9834,34.1935,-84.1299
304,Dedham,Dedham Mall,180 Providence Highway,Dedham,MA,02026,(781) 329-2862,42.254,-71.1695
306,Grand Rapids,Kentwood Towne Centre,5118 28Th Se,Grand Rapids,MI,49512,(616) 977-2301,42.908,-85.5427
308,Christiansburg,River Valley Mall,100 New River Road,Christiansburg,VA,24073,(540) 381-0102,37.1645,-80.4283
309,Jacksonville,Jacksonville,1112 Western Boulevard,Jacksonville,NC,28546,(910) 455-0928,34.7819,-77.394
310,Collegeville,Providence Town Center,400 Front Street,Collegeville,PA,19426,(610) 409-9790,40.1639,-75.4796
311,Deer Park,Town Center Promenade,21830 West Long Grove Road,Deer Park,IL,60010,(847) 550-1527,42.1637,-88.0593
312,Oswego,Prairie Market,2470 Us Hwy 34,Oswego,IL,60543,(630) 554-9061,41.7016,-88.3063
313,Tinley Park,Tinley Park Town Center,7370 West 191St,Tinley Park,IL,60487,(815) 806-4952,41.5478,-87.7983
315,Longmont,Harvest Junction,210 Ken Pratt Blvd,Longmont,CO,80501,(303) 682-5740,40.1538,-105.097
316,Wesley Chapel,Wesley Chapel,5925 Wesley Grove Blvd,Wesley Chapel,FL,33544,(813) 991-1618,28.2439,-82.3528
317,Topsham,Topsham Fair Mall,131 Topsham Fair Mall Road,Topsham,ME,04086,(207) 721-3074,43.9325,-69.9846
318,Salisbury,The Centre At Salisbury,2300 N. Salisbury Blvd.,Salisbury,MD,21801,(410) 219-1136,38.3976,-75.5654
319,Wayne,Wayne Towne Center,76 Willowbrook Blvd,Wayne,NJ,07470,(973) 200-8077,40.8886,-74.2536
320,Dale City,Smoke Town Station,13080 Worth Avenue,Dale City,VA,22192,(703) 491-9432,38.6497,-77.2959
321,Murfreesboro,The Avenue Murfreesboro,2615 Medical Center Parkway,Murfreesboro,TN,37129,(615) 896-8882,35.8603,-86.448
322,Colorado Springs,Chapel Hills Mall,1710 Briar Gate Blvd,Colorado Springs,CO,80920,(719) 264-1810,38.9468,-104.796
323,Florence,Magnolia Mall,"David Mcleod Blvd, Suite 1500",Florence,SC,29501,(843) 413-1321,34.192,-79.8322
324,Summerville,Azalea Square,355 Azalea Sq. Blvd.,Summerville,SC,29483,(843) 873-4065,33.038,-80.1614
325,Columbus Park,Columbus Park Crossing,5550 Whittlesey Blvd.,Columbus Park,GA,31909,(706) 320-0179,32.5436,-84.9443
326,Fayetteville,Fayette Pavilion,305 A Pavillion Parkway,Fayetteville,GA,30214,(678) 817-0676,33.482,-84.4473
327,Rivergate,Northside Marketplace,2305 Gallatin Pike,Madison,TN,37115,(615) 855-1443,36.3066,-86.6822
328,Beaver Valley,Beaver Valley Mall,675 Route 18,Monaca,PA,15061,(724) 770-9081,40.6755,-80.313
329,Hilliard,Tanglewood Plaza,1825 Hilliard-Rome Road,Hilliard,OH,43026,(614) 777-1396,39.9888,-83.1543
330,Birmingham,Brook Highland Plaza,5201 Highway 280 South,Birmingham,AL,35242,(205) 981-1320,33.4191,-86.6857
331,Johnson City,Mall At Johnson City,2011 North Road Street,Johnson City,TN,37601,(423) 282-4430,36.3392,-82.3779
332,Chesterfield,Chesterfield Commons,64 Thf Blvd.,Chesterfield,MO,63005,(636) 536-3718,38.6663,-90.5879
333,Alpharetta,North Point Mall,6440 North Point Parkway,Alpharetta,GA,30022,(770) 521-1195,34.0442,-84.2925
334,Bradenton,Centre Point Commons,4108 14Th Street West,Bradenton,FL,34205,(941) 751-6900,27.4643,-82.5781
335,Flower Mound,The Highlands,5801 Long Prairie Road,Flower Mound,TX,75028,(972) 355-1111,33.0658,-97.084
336,Concord,Afton Ridge,6080 Bayfield Parkway,Concord,NC,28027,(704) 262-7373,35.4173,-80.6789
337,Dothan,Dothan Pavilion,4401 Montgomery Hwy,Dothan,AL,36303,(334) 671-1370,31.2649,-85.4439
338,Montgomery,East Chase,7861 Eastchase Parkway,Montgomery,AL,36117,(334) 277-8180,32.3631,-86.1542
341,Montgomeryville,Montgomery Mall,113 Montgomery Mall,North Wales,PA,19454,(215) 368-2186,40.2358,-75.2458
342,Tigard,Washington Square,9402 Sw Washington Square Road,Tigard,OR,97223,(503) 598-3081,45.4519,-122.78
347,Austin,Domain Crossing,3210 Kramer Lane,Austin,TX,78758,(512) 339-3299,30.3978,-97.7266
348,St. Peters,Mid Rivers Mall,1600 Mid Rivers Mall,St. Peters,MO,63376,(636) 278-5050,38.7964,-90.6147
349,Hurst,Northeast Mall,1101 Melbourne Road,Hurst,TX,76053,(817) 590-0740,32.831,-97.1985
360,Chesterfield,Waterside Market Place,50580 Waterside Drive,Chesterfield Twp,MI,48051,(586) 949-0760,42.6701,-82.8271
362,Tempe,Emerald Center,8550 South Emerald Drive,Tempe,AZ,85284,(480) 592-0938,33.3368,-111.971
363,Gilbert,San Tan Village,2269 San Tan Village Parkway,Gilbert,AZ,85295,(480) 899-3993,33.309,-111.745
364,Glendale,Arrowhead Towne Center,7680 West Arrowhead Towne Center,Glendale,AZ,85308,(623) 334-8366,33.6426,-112.224
365,Deer Valley,The Shops At Norterra,2350 West Happy Valley Road,Phoenix,AZ,85085,(623) 434-3388,33.7147,-112.11
366,South Aurora,Cornerstar,"15400 East Briarwood Circle, Unit A",Aurora,CO,80016,(303) 617-7930,39.5929,-104.809
367,Southglenn,The Streets Of Southglenn,6737 S. Vine Street,Centennial,CO,80122,(303) 797-3360,39.5939,-104.965
369,Carbondale,University Place,1250 East Main Street,Carbondale,IL,62901,(618) 549-7581,37.734,-89.1925
373,Ocala,Market Street At Heathbrook,"4414 Sw College Road, Suite 1800",Ocala,FL,34474,(352) 237-7672,29.1423,-82.1911
375,Wolfchase,Countrywood Crossings,2393 N. Germantown Parkway,Cordova,TN,38016,(901) 386-5302,35.1907,-89.7962
376,Memphis,Centennial Commons,766 Polo Grounds Blvd,Memphis,TN,38125,(901) 737-2216,35.052,-89.8045
377,Rockwall,The Plaza At Rockwall,1005 E. Ih30,Rockwall,TX,75087,(972) 722-4434,32.9038,-96.4527
378,Rochester,Shoppes On Maine,4603 Maine Avenue Se,Rochester,MN,55904,(507) 252-9651,43.9552,-92.4656
379,Millville,Union Lake Crossing,2126 North 2Nd Street,Millville,NJ,08332,(856) 293-8520,39.4217,-75.045
380,Green Bay,Maverick Phase Ii,811 Pilgrim Way,Green Bay,WI,54304,(920) 490-8488,44.4809,-88.0682
381,Garland,Firewheel Town Center,205 Coneflower Drive,Garland,TX,75040,(972) 495-3208,32.9513,-96.6139
382,Hanover,North Hanover Mall,1155 Carlisle Street,Hanover,PA,17331,(717) 632-9362,39.8221,-76.9954
383,Williamsburg,The Marquis,120 Gristmil Plaza,Williamsburg,VA,23185,(757) 258-3364,37.2554,-76.6407
384,Huber Heights,North Heights Plaza,8220 Old Troy Pike,Huber Heights,OH,45424,(937) 237-1900,39.8744,-84.1336
385,Oxford,Oxford Exchange,1500 Oxford Exchange,Oxford,AL,36203,(256) 831-7739,33.6093,-85.7801
386,Shreveport,Kings Crossing,7543 Youree Drive,Shreveport,LA,71105,(318) 797-9110,32.4366,-93.7121
387,Dallas,Galleria,13838 Dallas Parkway,Dallas,TX,75240,(972) 239-5455,32.9353,-96.8208
388,Augusta,Augusta Mall,3450 Wrightsboro Road,Augusta,GA,30909,(706) 733-1199,33.4649,-82.0807
389,Selinsgrove,Monroe Commons,486 Martketplace,Selinsgrove,PA,17870,(570) 743-1780,40.8434,-76.8368
390,Sanford,Seminole Towne Center,350 Towne Center Circle,Sanford,FL,32771,(407) 324-5800,28.8036,-81.3379
393,Roseville,Crossroads Mall,1645 County Road B2 W,Roseville,MN,55113,(651) 633-7242,45.0163,-93.169
395,Flowood,Market Street At Flowood,720 Mackenzie Lane,Flowood,MS,39232,(601) 992-2341,32.3371,-90.0683
396,Danville,Coleman Marketplace,145 Holt Garrison Parkway,Danville,VA,24540,(434) 792-9612,36.5991,-79.4189
397,Burlington,Alamance West,1465 Boone Station Drive,Burlington,NC,27215,(336) 584-7545,36.0701,-79.5149
398,Papillion,Shadow Lake Towne Center,7403 Town Center Parkway,Papillion,NE,68046,(402) 592-1642,41.1331,-96.0267
399,Baton Rouge,Mall Of Louisiana,9330 Mall Of Louisiana Blvd. Suite 200,Baton Rouge,LA,70809,(225) 766-9100,30.3867,-91.0817
405,Dublin,Dublin,6111 Sawmill Road,Dublin,OH,43017,(614) 798-1111,40.0907,-83.0943
407,Woodbury,Tamarack Village,8292 Tamarack Village,Woodbury,MN,55125,(651) 731-0200,44.942,-92.9407
408,Leawood,Town Center Plaza,11801 Nall Avenue,Leawood,KS,66211,(913) 661-0200,38.9145,-94.6484
409,Minnetonka,West Ridge Market,11260 Wayzata Blvd,Minnetonka,MN,55305,(952) 525-0200,44.9736,-93.4239
411,Richfield,Richfield,1700 W 78Th Street,Richfield,MN,55423,(612) 869-0200,44.8633,-93.3013
412,Schaumburg,Streets Of Woodfield,"601 N Martingale, Suite 195",Schaumburg,IL,60173,(847) 995-0200,42.0416,-88.0344
413,Fairlakes,East Market,12501 Fairlakes Circle,Fairfax,VA,22033,(703) 803-0300,38.8573,-77.379
414,Washingtonian,Washingtonian Center,2 Grand Corner Avenue,Gaithersburg,MD,20878,(301) 947-0200,39.1178,-77.2011
415,Lombard,Fountain Square,810 E Butterfield Road,Lombard,IL,60148,(630) 317-0200,41.8421,-87.9966
416,Castleton,Castleton Square Mall,6020 E 82Nd Street,Indianapolis,IN,46250,(317) 576-0300,39.9096,-86.0632
417,Kennesaw,Town Center Commons,691 Ernest W Barrett Parkway Nw,Kennesaw,GA,30144,(770) 281-0200,34.0044,-84.5724
418,Lenox,Lenox Marketplace,3535 Peachtree Road,Atlanta,GA,30326,(404) 267-0200,33.8529,-84.3599
419,Buford,Mall Of Georgia At Millcreek,3333 Buford Drive,Buford,GA,30519,(678) 482-1200,34.0652,-83.9828
420,Grandville,Rivertown Crossings,3660 Rivertown Parkway,Grandville,MI,49418,(616) 249-0660,42.8803,-85.7548
421,Frisco,Stonebriar Center,2611 Preston Road,Frisco,TX,75034,(214) 618-0200,33.1003,-96.8105
422,Cheektowaga,Walden Galleria,2 Walden Galleria,Buffalo,NY,14225,(716) 651-0600,42.9138,-78.764
423,Broomfield,Flatiron Crossing,31 West Flatiron Crossing Drive,Broomfield,CO,80021,(720) 887-0900,39.9339,-105.133
424,Arlington,Parks At Arlington,3891 South Cooper Street,Arlington,TX,76015,(817) 987-4800,32.6784,-97.1288
425,Louisville,Oxmoor Center,7900 Shelbyville Road,Louisville,KY,40222,(502) 420-6400,38.2481,-85.61
426,Freehold,Freehold Raceway Mall,650 Trotter's Way,Freehold,NJ,07728,(732) 358-1400,40.252,-74.2966
427,Rochester,Marketplace Mall,305 Miracle Mile Drive,Rochester,NY,14623,(585) 697-7400,43.0826,-77.6351
429,Salt Lake City,The Gateway,41 South Rio Grande,Salt Lake City,UT,84101,(801) 456-0200,40.7684,-111.904
431,Colorado Springs,First And Main Tower Center,3133 Cinema Point,Colorado Springs,CO,80922,(719) 638-3400,38.8793,-104.717
432,Novi,Fountain Walk,44225 12 Mile Road,Novi,MI,48377,(248) 596-3400,42.4939,-83.4847
434,Lyndhurst,Legacy Village,24545 Cedar Road,Lyndhurst,OH,44124,(216) 706-9400,41.504,-81.5043
435,Danvers,Liberty Tree,96 Commonwealth Avenue,Danvers,MA,01923,(978) 646-6400,42.5512,-70.9448
436,Littleton,Park Meadows Mall,8435 Park Meadows Center Drive,Littleton,CO,80124,(720) 479-0600,39.5634,-104.876
437,Niles,Village Crossing,5601 Touhy Avenue,Niles,IL,60714,(847) 779-8800,42.009,-87.7681
438,Okemos,Meridian Mall,"1982 W. Grandriver Avenue, Suite 310",Okemos,MI,48864,(517) 853-0400,42.7258,-84.4179
440,Henderson,Galleria At Sunset,1308 West Sunset Road,Henderson,NV,89014,(702) 855-5000,36.0679,-115.041
442,Geneva,Geneva Commons,618 Commons Drive,Geneva,IL,60134,(630) 943-4100,41.8953,-88.3437
443,Peoria,The Shoppes At Grand Prarie,5205 West War Memorial Drive,Peoria,IL,61615,(309) 683-2400,40.7808,-89.673
447,Richmond,Stony Point Fashion Park,9204 Stony Point Pkwy,Richmond,VA,23235,(804) 253-0800,37.5484,-77.5726
448,Virginia Beach,Town Center At Virginia Beach,"4621 Columbus Street, Suite 100",Virginia Beach,VA,23462,(757) 493-6400,36.8406,-76.1364
449,Omaha,Westroads Mall,9901 Nicholas Street,Omaha,NE,68114,(402) 951-4400,41.2675,-96.0678
450,Woodbridge,Woodbridge Center,366 Woodbridge Center Drive,Woodbridge,NJ,07095,(732) 621-8400,40.5554,-74.2983
451,Hoover,Patton Creek,4401 Creekside Avenue,Hoover,AL,35244,(205) 909-1400,33.3745,-86.8179
452,Des Peres,West County Center,200 West County Center,Des Peres,MO,63131,(314) 649-1400,38.5999,-90.4469
454,Orland Park,Orland Park Place,"One Orland Park Place, Suite 1",Orland Park,IL,60462,(708) 675-3100,41.6137,-87.8514
456,Glenview,The Glen,1900 Tower Drive,Glenview,IL,60026,(847) 730-7400,42.0892,-87.8251
464,Garden City,Roosevelt Field,630 Old Country Road,Garden City,NY,11530,(516) 247-6400,40.7386,-73.6125
466,Lakewood,Belmar Center,7313 West Alaska Drive,Lakewood,CO,80226,(303) 600-2600,39.7097,-105.078
468,North Olmsted,Great Northern Mall,200 Great Northern Mall,North Olmsted,OH,44070,(440) 686-2400,41.4179,-81.9065
471,South Park,South Park Mall,4325 Barclay Downs Drive,Charlotte,NC,28209,(704) 972-9400,35.1532,-80.8339
475,Indianapolis,Trader's Point,6030 West 86Th Street,Indianapolis,IN,46278,(317) 956-1400,39.9126,-86.2674
476,Algonquin,Algonquin,1816 Randall Road,Algonquin,IL,60102,(847) 960-7700,42.1515,-88.3399
604,Lancaster,River Valley Mall,1500 River Valley Circle,Lancaster,OH,43130,(740) 654-6215,39.7319,-82.6262
607,Port Huron,Fort Gratiot Shopping Center,4715 24Th Avenue,Port Huron,MI,48059,(810) 385-5273,43.0443,-82.4593
608,Conway,Conway Commons,620 Elsinger Boulevard,Conway,AR,72032,(501) 336-0700,35.068,-92.4143
609,Escondido,Escondido Promenade,1200 Auto Park Way,Escondido,CA,92029,(760) 233-2700,33.1095,-117.097
610,Metairie,Lakeside Shopping Center,3301 Veterans Memorial,Metairie,LA,70002,(504) 835-0091,30.0084,-90.1588
612,Danbury,Danbury Fair Mall,7 Backus Avenue,Danbury,CT,06810,(203) 730-0164,41.3812,-73.4783
613,Manhattan,Manhattan Marketplace,401 3Rd Place,Manhattan,KS,66502,(785) 539-7800,39.1851,-96.5605
614,Frederick,Francis Scott Key Mall,"5500 Buckeystown Pike, Suite 900",Frederick,MD,21703,(240) 772-3181,39.3827,-77.4072
615,El Cajon,Parkway Plaza,565 Fletcher Parkway,El Cajon,CA,92020,(619) 447-0191,32.8067,-116.968
616,Nashua,Pheasant Lane Mall,310 Daniel Webster Highway,Nashua,NH,03060,(603) 888-3579,42.7019,-71.4385
617,Daphne,Jubilee Square,6850 Us Highway 90,Daphne,AL,36526,(251) 621-0031,30.6537,-87.9069
619,Coon Rapids,Riverdale Village,12661 Riverdale Blvd.,Coon Rapids,MN,55448,(763) 323-8611,45.2016,-93.3488
621,Renton,The Landing In Renton,915 North Landing Way,Renton,WA,98057,(425) 255-3070,47.4961,-122.203
622,Fresno,Arbor Faire,3380 West Shaw Avenue,Fresno,CA,93711,(559) 271-2701,36.81,-119.853
623,Clovis,Clovis Shopping Centre,1225 Herndon Avenue,Clovis,CA,93612,(559) 322-4628,36.8396,-119.694
624,Modesto,Vintage Faire Mall,3401 Dale Road,Modesto,CA,95356,(209) 578-1215,37.6879,-121.053
626,Staten Island,Shops On Richmond Avenue,2505 Richmond Avenue,Staten Island,NY,10314,(718) 982-7260,40.5865,-74.1674
628,Yonkers,Ridge Hill,45 Fitzgerald Street,Yonkers,NY,10710,(914) 964-0580,40.9666,-73.8574
629,Fort Smith,Fort Smith Pavilion,3825 Phoenix Avenue,Fort Smith,AR,72903,(479) 646-8900,35.3401,-94.3906
631,Waterford Lakes,Shoppes At Alafaya,1100 Alafaya Trail,Orlando,FL,32828,(407) 380-9066,28.5592,-81.208
633,Aberdeen,Center Park,"11109 Highway 15/501, Suite A",Aberdeen,NC,28315,(910) 246-0778,35.1565,-79.4176
634,Layton,Layton Hills Mall,1201 N Hill Field Road #1024,Layton,UT,84041,(801) 444-6656,41.0776,-111.978
635,Liberty,Liberty Triangle,1890 College Street,Liberty,MO,64068,(816) 407-1111,39.2478,-94.4485
636,Pocatello,Pocatello Square,1844 Hurley Drive,Pocatello,ID,83202,(208) 238-6002,42.9083,-112.459
637,Clearwater,Countryside Center,26583 Hwy 19 North,Clearwater,FL,33761,(727) 791-8580,28.0137,-82.7344
638,South Hills,South Hills Village,"301 South Hills Village Drive, Suite #201",Pittsburgh,PA,15241,(412) 831-5570,40.3438,-80.0574
639,Lexington Park,Lexington Village,46260 Lexington Village Way,Lexington Park,MD,20653,(240) 725-0142,38.2839,-76.4803
641,Gainesville,Shops At Stonewall,8009 Stonewall Shops Square,Gainesville,VA,20155,(571) 248-6261,38.7851,-77.6486
643,Naperville,Springbrook Prairie Pavillion,2763 W 75Th Street,Naperville,IL,60540,(630) 548-1476,41.749,-88.202
644,Brunswick,Glynn Isles,440 Glynn Isles,Brunswick,GA,31525,(912) 262-2433,31.2044,-81.481
645,Suffolk,Harbour View East,"6253 College Drive, Suite 200",Suffolk,VA,23435,(757) 638-2001,36.8801,-76.4288
646,West Chesterfield,Hancock Village,14629 Hancock Village Street,West Chesterfield,VA,23832,(804) 639-1107,37.4009,-77.6761
662,Hot Springs,Fairground Crossing,1420 Higdon Ferry Road,Hot Springs,AR,71913,(501) 624-0200,34.4696,-93.0723
667,Albany,Crossgates Mall,1 Crossgates Mall Road,Albany,NY,12203,(518) 218-7410,42.69,-73.8535
668,Plantation,The Fountains,801 S. University Drive,Plantation,FL,33324,(954) 472-8855,26.1102,-80.2532
669,Pembroke Pines,Pembroke Crossings,11940 Pines Blvd.,Pembroke,FL,33026,(954) 430-5873,26.0058,-80.3099
670,Hillsboro,Crossroads Shopping Center,7280 Nw Butler Street,Hillsboro,OR,97124,(503) 547-2904,45.5352,-122.905
671,Puyallup,South Hills,"3500 S. Meridian Street, #600",Puyallup,WA,98373,(253) 845-5188,47.1581,-122.296
672,Paramus,Paramus Towne Square,"240 Route 17, North",Paramus,NJ,07652,(201) 261-2926,40.935,-74.0678
673,Eugene,Delta Oaks,1030 Greenacres Road,Eugene,OR,97408,(541) 344-9622,44.0911,-123.096
674,Salem,Salem,275 Lancaster Drive,Salem,OR,97301,(503) 363-4860,44.9308,-122.985
675,Lake Oswego,Meridian Square,17799 Lower Boones Ferry Road,Lake Oswego,OR,97035,(503) 635-3800,45.3984,-122.743
676,Bend,Cascade Village Shopping Center,"63455 N Highway 97, Suite 8",Bend,OR,97701,(541) 317-4820,44.1002,-121.303
677,Gresham,Gresham Town Fair,700 Nw Eastman Parkway,Gresham,OR,97030,(503) 667-1950,45.5025,-122.434
678,Portland,Hayden Meadows Square,1140 N. Hayden Meadows Drive,Portland,OR,97217,(503) 285-5040,45.5941,-122.677
679,Clackamas,Johnson Creek Crossing,9600 Se 82Nd Street,Clackamas,OR,97086,(503) 788-7616,45.454,-122.577
681,Vernon Hills,Fashion Square,700 N. Milwaukee Avenue Unit #121,Vernon Hills,IL,60061,(847) 573-8240,42.2377,-87.9472
682,Daytona Beach,International Speedway Square,"2500 W. International Speedway Blvd, Suite 100",Daytona Beach,FL,32114,(386) 255-5533,29.1801,-81.0819
683,Clarksville,Governor's Square,"2801 Wilma Rudolph Blvd, Unit 195",Clarksville,TN,37040,(931) 645-2255,36.589,-87.2877
684,Boynton Beach,Boynton Festive Center,515 N. Congress Ave,Boynton Beach,FL,33426,(561) 734-7771,26.5323,-80.0929
685,Meridian,Centre Point Marketplace,3415 N Eagle Road,Meridian,ID,83646,(208) 884-2026,43.6361,-116.358
686,Boardman,Applewood Commons,550 Boardman-Poland Road,Boardman,OH,44514,(330) 629-6871,41.025288,-80.645227
687,Bloomfield,Bloomfield Town Square,2105 Telegraph Road,Bloomfield,MI,48302,(248) 456-1806,42.6093,-83.2969
688,Waterloo,Crossroads Commons,1411 Flammang Drive,Waterloo,IA,50702,(319) 287-5722,42.461,-92.3289
689,Orchard Park,Quaker Crossing,3434 Amelia Drive,Orchard Park,NY,14127,(716) 821-1616,42.7925,-78.7867
690,White Plains,The Source,1 Maple Avenue,White Plains,NY,10605,(914) 328-3487,41.0292,-73.7589
691,Gastonia,Gaston Mall,"415 Cox Road, Suite 100",Gastonia,NC,28054,(704) 810-0994,35.2622,-81.1353
692,Rock Hill,Manchester Village,548 John Ross Parkway,Rock Hill,SC,29730,(803) 324-2393,34.9428,-80.977
693,Westminster,Town Mall,400 North Center Street,Westminster,MD,21157,(410) 848-1039,39.58,-76.983
694,Glen Burnie,Governor Plaza,6633 Ritchie Highway,Glen Burnie,MD,21061,(410) 768-9372,39.1947,-76.6101
695,Dubuque,Kennedy Mall,555 John F. Kennedy Road,Dubuque,IA,52002,(563) 557-6130,42.4939,-90.7225
696,Paducah,Kentucky Oaks Mall,"5101 Hinkleville Road, Unit #600",Paducah,KY,42001,(270) 442-0100,37.08,-88.6891
697,Bakersfield,Northwest Promenade,9300 Rosedale Hwy,Bakersfield,CA,93312,(661) 588-8100,35.386,-119.106
698,Orlando,Millenia Plaza,4615 Millenia Plaza Way,Orlando,FL,32839,(407) 355-0733,28.4969,-81.4274
702,Opelika,Tiger Town,2718 Enterprise Drive,Opelika,AL,36801,(334) 749-8123,32.6162,-85.4103
703,Tupelo,The Mall At Barnes Crossing,1001 Barnes Crossing Road,Tupelo,MS,38804,(662) 844-5799,34.3095,-88.7011
704,Jackson,The Columns,1165 Vann Drive,Jackson,TN,38305,(731) 660-4344,35.665,-88.8616
705,Auburn,Fingerlakes Crossing,1620 Clark Street Road,Auburn,NY,13021,(315) 258-3750,42.9248,-76.6088
706,Davenport,Posner Town Center,1300 Posner Blvd,Davenport,FL,33837,(863) 424-4444,28.2266,-81.645
709,Park Lane,Park Lane,8030 Park Lane,Dallas,TX,75231,(214) 696-5800,32.8706,-96.7685
711,Grafton,Grafton Commons,1020 Port Washington Road,Grafton,WI,53024,(262) 377-6349,43.3225,-87.9245
713,Cedar Hill,Uptown Village,305 West Fm 1382,Cedar Hill,TX,75104,(972) 291-5530,32.6018,-96.9432
714,Alliance,Alliance Town Center,9356 Sage Meadow Trail,Fort Worth,TX,76177,(817) 750-1170,32.908852,-97.313426
717,La Cantera,The Rim Center,18103 Rim Drive,San Antonio,TX,78257,(210) 558-3444,29.6139,-98.6015
718,San Antonio,Alamo Ranch Market,"5503 West Loop, 1604 North",San Antonio,TX,78253,(210) 680-2288,29.4897,-98.7094
719,Manahawkin,Stafford Park,223 Stafford Park Blvd.,Manahawkin,NJ,08050,(609) 597-5396,39.7087,-74.2852
721,Kingsport,Kingsport Pavilion,2626 East Stone Drive,Kingsport,TN,37660,(423) 245-3412,36.5529,-82.4916
722,Knightdale,Knightdale,220 Hinton Oaks Blvd.,Knightdale,NC,27545,(919) 266-7876,35.797,-78.5127
725,Mesa,Fiesta Mall,1455 West Southern Avenue,Mesa,AZ,85202,(480) 615-2748,33.3889,-111.86
726,Oro Valley,Oro Valley Marketplace,11935 North Oracle Road,Oro Valley,AZ,85737,(520) 742-0792,32.4227,-110.938
727,Sandusky,Sandusky Pavillion,4020 Milan Road (Rte. 250),Sandusky,OH,44870,(419) 621-1660,41.4207,-82.6738
728,Aurora,Gardens On Havana,1200 S. Ironton Street,Aurora,CO,80012,(303) 755-0410,39.6944,-104.863
729,Brighton,Prairie Center,2269 Prairie Center Parkway,Brighton,CO,80601,(720) 685-1701,39.9552,-104.782
731,Noblesville,Hamilton Town Center,13157 Norell Lane,Noblesville,IN,46060,(317) 776-1687,39.9901,-85.9316
739,South Fort Myers,Gulf Coast Town Center,10011 Gulf Center Drive,Fort Myers,FL,33913,(239) 433-0216,26.4856,-81.7882
740,North Macon,The Shoppes At River Crossing,5080 Riverside Drive,Macon,GA,31210,(478) 477-6777,32.9243,-83.7128
743,Harker Heights,Market Heights,201 East Central Texas Expressway,Harker Heights,TX,76548,(254) 690-4220,31.0735,-97.6686
748,Wellington,Southern Crossing,8821 Southern Blvd,West Palm Beach,FL,33411,(561) 204-4133,26.6816,-80.1829
750,Bradley,Bradley Commons,2054 N. State Route 50,Bourbonnais,IL,60914,(815) 802-0565,41.1876,-87.8478
751,Yorkville,Kendale Marketplace,825 Erica Lane,Yorkville,IL,60560,(630) 553-5365,41.6646,-88.461
753,Kenosha,Shops Of Prarie Ridge,9899 76Th Street,Kenosha,WI,53158,(262) 697-5764,42.564,-87.9293
754,Allen,The Village At Allen,170 E. Stacy Road,Allen,TX,75002,(972) 678-0650,33.1246,-96.6592
755,Bee Cave,Hill Country Galleria,3921 Market Street,Bee Cave,TX,78738,(512) 263-2953,30.3076,-97.9366
756,New Hartford,Sangertown Square,Route 5 And 5A,New Hartford,NY,13413,(315) 798-9626,43.0823,-75.314
758,South Fredericksburg,Cosner's Corner,9721 Jefferson Davis Parkway,Fredericksburg,VA,22407,(540) 834-4561,38.2188,-77.5029
760,Alcoa,Hamilton Crossing,221 Hamitlon Crossing Drive,Alcoa,TN,37701,(865) 379-1480,35.7694,-83.9854
763,Dover,Dover Mall,"1365 N Dupont Highway, Suite 6000",Dover,DE,19901,(302) 678-9160,39.19307288,-75.5391347
764,Pflugerville,Stone Hill Town Center,19000 Limestone Commercial Drive,Pflugerville,TX,78660,(512) 252-2800,30.4711,-97.5971
770,Irving,Las Colinas,2000 Market Place Blvd,Irving,TX,75063,(972) 402-0600,32.9214,-96.9727
772,Crofton,Village At Waugh Chapel,1417 South Main Chapel Way,Gambrills,MD,21054,(410) 721-4941,39.0335,-76.6891
775,Loganville,North Logan Commons,4040 Atlanta Highway,Loganville,GA,30052,(770) 466-1333,33.848,-83.9089
778,East Huntsville,Westside Pavillion,2718 Carl T. Jones Drive,Huntsville,AL,35802,(256) 881-3212,34.6764,-86.5482
780,Anderson,Midtown Park,140 Fritz Drive,Anderson,SC,29621,(864) 225-7252,34.5516,-82.6745
781,Highland,Highland Grove,10251 Indianapolis Blvd,Highland,IN,46322,(219) 924-2237,41.5276,-87.4684
782,Horseheads,Southern Tier Crossing,1216 County Route 64,Horseheads,NY,14845,(607) 796-0850,42.1583,-76.8529
783,Columbia,Stadium Shoppes,227 N. Stadium,Columbia,MO,65203,(573) 447-1001,38.9607,-92.3746
784,D'iberville,The Promenade,3893 Promenade Parkway,D'iberville,MS,39540,(228) 392-1607,30.4535,-88.9015
793,Madison,Madison Grandview,175 Grandview Blvd.,Madison,MS,39110,(601) 853-4373,32.4642,-90.1374
795,New Braunfels,Towne Center At Creekside,303 Creekside Way,New Braunfels,TX,78130,(830) 629-3100,29.7268,-98.0752
798,Martinsburg,The Commons,398 Retail Commons Parkway,Martinsburg,WV,25403,(304) 263-1225,39.4378,-77.9937
921,West Covina,Westfield Eastland Shopping Center,2753 Eastland Center Drive,West Covina,CA,91791,(626) 331-8227,34.0735,-117.885
922,Upland Colonies,Colonies Crossroads,1939 North Campus Avenue,Upland,CA,91784,(909) 946-7192,34.1337,-117.639
